Rank,Team,Name,Position,Games,ADP,Bye,SOS,InjuryRisk,Floor Proj,Consensus Proj,DS Proj,CeilingProj,Value
642,NYG,Russell Wilson,QB,12,18.04,14,-7%,38%,163,217,247,313.7,-25.4
643,KC,Chamarri Conner,DB,17,,10,-29%,0%,36.2,,72,94.1,-25.4
644,SF,Yetur Gross-Matos,DL,17,,14,-8%,0%,35.1,54,47,62.2,-25.5
645,LAR,Ahkello Witherspoon,DB,17,,8,-31%,0%,44.6,,69,92.7,-25.5
646,CIN,Tanner McLachlan,TE,17,77.07,10,27%,0%,21.5,15,27,90,-25.6
647,DET,Kalif Raymond,WR,17,43.11,8,7%,13%,54,33,60,120,-25.6
648,MIN,Javon Hargrave,DL,17,,6,-7%,0%,32.6,62,47,62.9,-25.6
649,DEN,Patrick Surtain II,DB,17,,12,-33%,0%,44.4,75,66,99.5,-25.7
650,PHI,Quinyon Mitchell,DB,17,,9,-26%,0%,44.7,74,64,102.3,-25.7
651,NO,Tyler Shough,QB,14,19.03,11,-4%,0%,170.6,212,244,314.5,-25.7
652,LAC,Raheim Sanders,RB,17,38.06,12,-12%,0%,12.6,2,17,89.2,-25.8
653,ARI,Baron Browning,DL,17,,8,-14%,0%,32,52,43,70.3,-25.8
654,PHI,Jihaad Campbell,LB,17,,9,-26%,0%,58.8,,90,122,-25.8
655,LAC,Kimani Vidal,RB,17,27.02,12,-12%,0%,11.3,26,19,68.9,-25.9
656,ATL,A.J. Terrell,DB,17,,5,-2%,30%,42.7,63,66,98.4,-25.9
657,ARI,Greg Dortch,WR,17,40.07,8,-8%,36%,46.2,51,58,112.7,-26
658,DEN,Blake Watson,RB,17,78.04,12,-1%,0%,7.5,,11,80.3,-26.1
659,CHI,Jaylon Johnson,DB,17,,5,21%,0%,50.5,64,67,90.9,-26.2
660,ARI,Darius Robinson,DL,17,,8,-14%,0%,30.8,25,44,68.2,-26.3
661,SEA,Byron Murphy II,DL,17,,8,36%,0%,32.3,43,43,68.8,-26.4
