Overall Rank,Name,Position,Team,Bye,Position Rank,Tier,Value
730,Joshua Simon,TE,ATL,5,78,999,-30.4
732,Luke Lachey,TE,HOU,6,79,999,-30.6
735,Charlie Kolar,TE,BAL,7,80,999,-30.8
737,Montrell Johnson Jr.,RB,PHI,9,126,999,-30.8
738,Malachi Corley,WR,NYJ,9,135,999,-30.9
740,Arian Smith,WR,NYJ,9,136,999,-31.1
741,Jelani Woods,TE,IND,11,81,999,-31.2
742,D.J. Chark Jr.,WR,ATL,5,137,999,-31.4
743,Julius Chestnut,RB,TEN,10,127,999,-31.5
744,Carson Steele,RB,KC,10,128,999,-31.7
745,Davis Allen,TE,LAR,8,82,999,-31.7
747,Devin Culp,TE,TB,9,83,999,-31.8
748,Colby Parkinson,TE,LAR,8,84,999,-31.9
749,Hunter Renfrow,WR,CAR,14,138,999,-32.0
750,Jase McClellan,RB,ATL,5,129,999,-32.1
751,Nelson Agholor,WR,UNS,18,139,999,-32.1
753,Eric Gray,RB,NYG,14,130,999,-32.2
754,Jackson Hawes,TE,BUF,7,85,999,-32.2
756,Tip Reiman,TE,ARI,8,86,999,-32.4
758,Jared Wiley,TE,KC,10,87,999,-32.6
759,Payne Durham,TE,TB,9,88,999,-32.6
763,Andrew Ogletree,TE,IND,11,89,999,-32.7
764,Dylan Laube,RB,LVR,8,131,999,-32.8
767,Mo Alie-Cox,TE,IND,11,90,999,-32.9
768,Isaiah Bond,WR,RK,18,140,999,-33.0
769,Donovan Edwards,RB,NYJ,9,132,999,-33.2
770,Thomas Fidone II,TE,NYG,14,91,999,-33.2
771,John Bates,TE,WAS,12,92,999,-33.4
772,Charlie Woerner,TE,ATL,5,93,999,-33.5
773,Derius Davis,WR,LAC,12,141,999,-33.5
775,Brevyn Spann-Ford,TE,DAL,10,94,999,-33.8
776,Zay Jones,WR,ARI,8,142,999,-33.8
777,Will Mallory,TE,IND,11,95,999,-33.9
781,Nate Adkins,TE,DEN,12,96,999,-34.3
782,Robbie Ouzts,TE,SEA,8,97,999,-34.3
783,Jaheim Bell,TE,NE,14,98,999,-34.5
788,Moliki Matavao,TE,NO,11,99,999,-35.0
789,Jahan Dotson,WR,PHI,9,143,999,-35.2
790,Xavier Restrepo,WR,TEN,10,144,999,-35.2
796,Gavin Bartholomew,TE,MIN,6,100,999,-35.6
798,Jacob Cowing,WR,SF,14,145,999,-36.1
801,Jalin Hyatt,WR,NYG,14,146,999,-36.2
804,Connor Heyward,TE,PIT,5,101,999,-36.7
805,John Metchie,WR,HOU,6,147,999,-36.9
807,Nick Folk,K,NYJ,9,30,999,-36.9
808,Sterling Shepard,WR,TB,9,148,999,-37.1
810,Jaylin Lane,WR,WAS,12,149,999,-37.2
811,Ricky White,WR,SEA,8,150,999,-37.2
812,Durham Smythe,TE,CHI,5,102,999,-37.3
813,Jordan Watkins,WR,SF,14,151,999,-37.3
816,Ja'Lynn Polk,WR,NE,14,152,999,-37.9
